OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
BEIDOU-3 M28 (C50),2023-207A,2026-07-15T18:11:39.815808,1.86229674,.00024114,55.7781,61.3393,5.4366,354.6394,0,U,58654,999,1737,0,-.46E-6,0
BEIDOU-3 M26 (C48),2023-207B,2026-07-13T22:40:23.820960,1.86229657,.0002016,55.7789,61.3870,324.6613,35.3983,0,U,58655,999,1732,0,-.41E-6,0
GSAT0225 (GALILEO 29),2024-079A,2026-07-15T20:24:57.238272,1.70473737,.0000578,55.1362,100.2788,334.6086,202.4924,0,U,59598,999,1380,0,-.27E-6,0
GSAT0227 (GALILEO 30),2024-079C,2026-07-13T23:39:34.866144,1.70473814,.00028453,55.1303,100.3294,67.2681,292.7822,0,U,59600,999,1382,0,-.3E-6,0
GSAT0232 (GALILEO 32),2024-167A,2026-07-14T06:36:41.942880,1.70474020,.00064875,55.1796,220.5702,231.1885,162.2574,0,U,61182,999,1134,0,.67E-6,0
GSAT0226 (GALILEO 31),2024-167B,2026-07-15T12:58:33.996864,1.70474019,.0003199,55.1780,220.5424,236.5502,304.7031,0,U,61183,999,1133,0,.56E-6,0
BEIDOU-3 M25 (C47),2024-168B,2026-07-15T22:07:26.489568,1.86229896,.0003331,54.4457,301.2431,291.7483,71.3144,0,U,61186,999,1232,0,-.73E-6,0
BEIDOU-3 M27 (C49),2024-168C,2026-07-16T06:06:05.436576,1.86229976,.00008898,54.4408,301.2142,46.8208,314.1298,0,U,61187,999,980,0,-.75E-6,0
GPS BIII-7  (PRN 01),2024-242A,2026-07-16T06:14:57.087744,2.00572022,.00179284,54.8354,333.0025,4.3490,357.8288,0,U,62339,999,1184,0,-.1E-5,0
QZS-6 (QZSS/PRN 200),2025-023A,2026-07-15T18:55:58.867392,1.00266863,.00018396,0.0103,12.6020,119.3403,176.0977,0,U,62876,999,523,0,-.242E-5,0
COSMOS 2584 (704K),2025-042A,2026-07-13T21:18:41.244768,2.13103784,.000546,65.0996,71.8945,213.8001,146.2394,0,U,63130,999,1061,0,-.1E-6,0
GPS BIII-8  (PRN 21),2025-116A,2026-07-16T00:06:34.149024,2.00573669,.00084315,55.2543,29.9713,339.3849,21.2010,0,U,64202,999,845,0,-.76E-6,0
COSMOS 2596 (708K),2025-206B,2026-07-13T08:02:05.138880,2.13100618,.00111267,64.6178,314.0753,307.7533,103.9433,0,U,65590,999,647,0,-.64E-6,0
GSAT0233 (GALILEO 33),2025-302A,2026-07-15T16:22:26.245344,1.70473798,.00009422,54.3503,101.3186,153.4339,211.2208,0,U,67160,999,361,0,-.28E-6,0
GSAT0234 (GALILEO 34),2025-302C,2026-07-14T12:15:19.860192,1.70473847,.00023025,54.3528,101.3514,321.0338,224.6861,0,U,67162,999,364,0,-.3E-6,0
GPS BIII-9  (PRN 20),2026-017A,2026-07-15T02:48:10.740672,2.00570507,.00216395,55.1061,87.6342,260.3058,99.5008,0,U,67588,999,43217,0,-.26E-6,0
GPS BIII-10 (PRN 13),2026-087A,2026-07-15T11:14:09.755808,2.00572628,.00204615,54.9617,206.6692,106.0864,353.1427,0,U,68791,999,140,0,.49E-6,0
