OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
GSAT0212 (GALILEO 16),2016-069B,2026-07-14T18:07:16.719168,1.70473579,.00043837,55.5126,100.3182,15.0007,345.0382,0,U,41860,999,6012,0,-.28E-6,0
GSAT0213 (GALILEO 17),2016-069C,2026-07-13T08:41:54.440160,1.70474037,.00041264,55.5134,100.3648,318.6741,41.3115,0,U,41861,999,5996,0,-.31E-6,0
GSAT0214 (GALILEO 18),2016-069D,2026-07-14T02:17:14.544672,1.70473685,.00032961,55.5122,100.3371,333.1197,26.8847,0,U,41862,999,6010,0,-.3E-6,0
SES-15 (WAAS/PRN 133),2017-026A,2026-07-16T05:51:45.863712,1.00268502,.00003146,0.0280,325.1797,139.7760,147.9062,0,U,42709,999,772,0,.49E-6,0
QZS-2 (QZSS/PRN 194),2017-028A,2026-07-15T10:39:52.556256,1.00276676,.07575002,39.3862,242.7372,269.6033,83.3491,0,U,42738,999,791,0,-.133E-5,0
QZS-3 (QZSS/PRN 199),2017-048A,2026-07-16T07:04:52.302720,1.00271663,.00025604,0.0637,213.5574,272.9287,40.9011,0,U,42917,999,3255,0,-.358E-5,0
COSMOS 2522 (752),2017-055A,2026-07-15T06:40:55.768800,2.13101758,.00109349,64.0806,190.9281,240.7773,119.1159,0,U,42939,999,6857,0,.55E-6,0
QZS-4 (QZSS/PRN 195),2017-062A,2026-07-14T14:36:13.319136,1.00290232,.0747384,40.0921,343.1359,268.5643,38.8857,0,U,42965,999,3207,0,-.342E-5,0
BEIDOU-3 M1 (C19),2017-069A,2026-07-15T01:18:53.436096,1.86230827,.00092673,56.7163,62.1672,328.5335,31.4861,0,U,43001,999,5912,0,-.4E-6,0
BEIDOU-3 M2 (C20),2017-069B,2026-07-14T23:50:47.813280,1.86230602,.0008281,56.7151,62.2055,358.4251,1.6473,0,U,43002,999,5911,0,-.4E-6,0
GSAT0215 (GALILEO 19),2017-079A,2026-07-15T04:06:51.886368,1.70474281,.00038313,55.0676,220.7362,269.4103,90.6058,0,U,43055,999,5346,0,.59E-6,0
GSAT0216 (GALILEO 20),2017-079B,2026-07-14T06:56:45.569184,1.70474452,.00048858,55.0681,220.7605,277.2528,82.7589,0,U,43056,999,5346,0,.67E-6,0
GSAT0217 (GALILEO 21),2017-079C,2026-07-13T22:10:03.005760,1.70474255,.00051779,55.0663,220.7682,287.6925,72.3210,0,U,43057,999,5344,0,.71E-6,0
GSAT0218 (GALILEO 22),2017-079D,2026-07-15T21:40:57.162432,1.70474408,.0005401,55.0660,220.7113,274.7995,85.1927,0,U,43058,999,5350,0,.53E-6,0
BEIDOU-3 M7 (C27),2018-003A,2026-07-15T06:32:23.968032,1.86228000,.00043462,54.3016,301.3358,99.7203,260.3603,0,U,43107,999,5787,0,-.7E-6,0
BEIDOU-3 M8 (C28),2018-003B,2026-07-16T06:58:40.024992,1.86230859,.0003089,54.2930,301.2814,256.6040,103.3959,0,U,43108,999,5790,0,-.75E-6,0
BEIDOU-3 M4 (C22),2018-018A,2026-07-14T01:10:47.817984,1.86230761,.0007449,56.6746,62.2635,28.5883,331.5267,0,U,43207,999,5724,0,-.38E-6,0
BEIDOU-3 M3 (C21),2018-018B,2026-07-14T02:46:33.181248,1.86230643,.0007673,56.6739,62.2651,347.0492,13.0054,0,U,43208,999,5724,0,-.38E-6,0
BEIDOU-3 M9 (C29),2018-029A,2026-07-15T09:46:53.786208,1.86227873,.00012368,54.1665,298.9609,187.3041,172.7303,0,U,43245,999,5642,0,-.67E-6,0
BEIDOU-3 M10 (C30),2018-029B,2026-07-14T19:18:56.289888,1.86229073,.00032321,54.1648,299.0090,37.5330,322.5237,0,U,43246,999,5639,0,-.65E-6,0
IRNSS-1I,2018-035A,2026-07-15T18:06:38.752416,1.00271937,.00184286,28.8196,73.7504,178.5609,8.0026,0,U,43286,999,3036,0,.58E-6,0
COSMOS 2527 (756),2018-053A,2026-07-14T07:14:45.547584,2.13102086,.00064133,65.5923,73.0036,229.6749,130.3442,0,U,43508,999,6285,0,-.8E-7,0
BEIDOU-2 IGSO-7 (C16),2018-057A,2026-07-01T21:23:21.693984,1.00246939,.01049468,55.1981,162.9292,237.8611,308.6338,0,U,43539,999,2927,0,-.33E-6,0
GSAT0221 (GALILEO 25),2018-060A,2026-07-14T01:08:49.778304,1.70476069,.00026631,57.1598,341.0559,285.3829,74.5732,0,U,43564,999,4962,0,-.96E-6,0
GSAT0222 (GALILEO 26),2018-060B,2026-07-13T16:20:30.695712,1.70475786,.00027814,57.1635,341.0695,235.2693,124.6907,0,U,43565,999,4966,0,-.95E-6,0
GSAT0219 (GALILEO 23),2018-060C,2026-07-15T15:52:35.098176,1.70476050,.00018362,57.1620,341.0175,298.1228,61.8439,0,U,43566,999,4967,0,-.101E-5,0
GSAT0220 (GALILEO 24),2018-060D,2026-07-13T12:52:06.984480,1.70475652,.00021293,57.1625,341.0748,291.2422,68.7213,0,U,43567,999,4962,0,-.94E-6,0
BEIDOU-3 M5 (C23),2018-062A,2026-07-16T02:27:45.852192,1.86228746,.00056592,54.0864,181.3210,293.1569,66.7535,0,U,43581,999,5417,0,.39E-6,0
BEIDOU-3 M6 (C24),2018-062B,2026-07-14T08:31:42.591648,1.86227860,.00052328,54.0858,181.3698,9.8784,350.1097,0,U,43582,999,5414,0,.47E-6,0
BEIDOU-3 M12 (C26),2018-067A,2026-07-14T19:56:16.514880,1.86227572,.00079415,54.1815,180.1029,30.1280,329.8903,0,U,43602,999,5363,0,.41E-6,0
BEIDOU-3 M11 (C25),2018-067B,2026-07-14T23:10:52.622112,1.86227031,.00046403,54.1789,180.0620,13.0811,346.9028,0,U,43603,999,5366,0,.41E-6,0
BEIDOU-3 M13 (C32),2018-072A,2026-07-13T20:19:15.504672,1.86231187,.00062359,56.6475,61.7808,333.7731,26.2691,0,U,43622,999,5315,0,-.39E-6,0
BEIDOU-3 M14 (C33),2018-072B,2026-07-15T20:38:20.395392,1.86231129,.00055578,56.6514,61.7086,10.9419,349.1444,0,U,43623,999,5318,0,-.45E-6,0
BEIDOU-3 M16 (C35),2018-078A,2026-07-14T09:41:47.912064,1.86232196,.0006624,54.0634,299.0313,39.7782,320.3030,0,U,43647,999,5266,0,-.64E-6,0
BEIDOU-3 M15 (C34),2018-078B,2026-07-14T12:47:56.527296,1.86232329,.0003536,54.0590,299.0269,57.8391,302.2283,0,U,43648,999,5268,0,-.64E-6,0
BEIDOU-3 G1 (C59),2018-085A,2026-07-16T05:31:36.820992,1.00272490,.00079916,2.9396,96.5794,356.8224,83.5330,0,U,43683,999,2835,0,-.121E-5,0
COSMOS 2529 (757),2018-086A,2026-07-15T08:04:45.592320,2.13101945,.001214,64.2971,191.6437,256.3139,103.5547,0,U,43687,999,5988,0,.55E-6,0
BEIDOU-3 M17 (C36),2018-093A,2026-07-15T05:37:11.800704,1.86228289,.00101217,54.1700,181.3447,294.3653,66.9155,0,U,43706,999,5206,0,.4E-6,0
BEIDOU-3 M18 (C37),2018-093B,2026-07-15T02:17:52.989216,1.86226638,.00080739,54.1708,181.3419,322.6049,37.3124,0,U,43707,999,5205,0,.41E-6,0
